iter	Passed	Remaining
0	155	155000
1	168	83987
2	176	58760
3	187	46693
4	203	40504
5	215	35720
6	228	32345
7	239	29637
8	248	27340
9	258	25550
10	268	24120
11	279	23042
12	290	22051
13	299	21101
14	311	20439
15	322	19827
16	334	19349
17	344	18810
18	353	18240
19	363	17812
20	376	17544
21	389	17312
22	401	17057
23	411	16728
24	421	16446
25	433	16238
26	444	16014
27	456	15844
28	467	15669
29	476	15398
30	487	15227
31	499	15095
32	508	14892
33	516	14662
34	525	14494
35	535	14333
36	543	14152
37	556	14091
38	565	13927
39	575	13808
40	584	13670
41	595	13573
42	603	13429
43	611	13293
44	624	13260
45	636	13204
46	647	13120
47	657	13042
48	666	12931
49	675	12833
50	685	12757
51	695	12681
52	704	12582
53	715	12527
54	725	12458
55	735	12400
56	744	12321
57	754	12261
58	771	12305
59	781	12246
60	789	12160
61	798	12086
62	801	11914
63	811	11868
64	820	11806
65	831	11761
66	841	11718
67	851	11673
68	861	11621
69	869	11548
70	878	11498
71	888	11447
72	899	11424
73	908	11372
74	918	11326
75	927	11275
76	938	11253
77	949	11220
78	958	11175
79	967	11123
80	976	11077
81	987	11050
82	996	11005
83	1005	10967
84	1016	10940
85	1025	10895
86	1034	10860
87	1046	10843
88	1057	10828
89	1067	10797
90	1076	10758
91	1085	10716
92	1096	10693
93	1106	10665
94	1116	10633
95	1126	10604
96	1136	10576
97	1144	10536
98	1155	10512
99	1164	10477
100	1174	10458
101	1183	10422
102	1193	10398
103	1203	10372
104	1213	10346
105	1223	10319
106	1233	10295
107	1241	10254
108	1254	10255
109	1263	10226
110	1274	10209
111	1285	10192
112	1294	10157
113	1304	10137
114	1313	10110
115	1323	10082
116	1334	10072
117	1345	10055
118	1354	10027
119	1363	10001
120	1373	9975
121	1382	9952
122	1392	9930
123	1402	9905
124	1412	9887
125	1421	9858
126	1430	9835
127	1439	9807
128	1449	9784
129	1459	9764
130	1468	9744
131	1479	9730
132	1490	9713
133	1499	9693
134	1509	9673
135	1519	9654
136	1529	9636
137	1538	9611
138	1549	9598
139	1558	9575
140	1568	9555
141	1579	9542
142	1589	9526
143	1598	9502
144	1608	9481
145	1617	9463
146	1628	9447
147	1637	9426
148	1646	9403
149	1656	9385
150	1666	9371
151	1678	9363
152	1686	9337
153	1696	9321
154	1705	9299
155	1714	9276
156	1726	9271
157	1737	9261
158	1746	9239
159	1756	9219
160	1768	9215
161	1778	9198
162	1787	9181
163	1796	9160
164	1807	9144
165	1817	9129
166	1828	9118
167	1838	9104
168	1848	9087
169	1857	9067
170	1867	9054
171	1876	9035
172	1886	9016
173	1896	9000
174	1905	8983
175	1916	8971
176	1926	8957
177	1935	8937
178	1944	8920
179	1955	8906
180	1964	8887
181	1973	8869
182	1982	8851
183	1992	8834
184	2001	8818
185	2011	8801
186	2023	8797
187	2034	8785
188	2043	8769
189	2053	8754
190	2062	8736
191	2072	8722
192	2082	8706
193	2091	8688
194	2102	8679
195	2112	8667
196	2122	8649
197	2132	8639
198	2143	8628
199	2153	8613
200	2162	8597
201	2171	8580
202	2180	8561
203	2190	8546
204	2199	8529
205	2209	8515
206	2220	8505
207	2231	8496
208	2243	8490
209	2254	8480
210	2262	8460
211	2273	8451
212	2284	8440
213	2294	8429
214	2304	8414
215	2315	8403
216	2324	8389
217	2334	8373
218	2344	8360
219	2357	8358
220	2368	8348
221	2379	8339
222	2388	8322
223	2396	8301
224	2407	8292
225	2417	8279
226	2429	8274
227	2440	8262
228	2449	8246
229	2460	8238
230	2471	8228
231	2481	8215
232	2491	8201
233	2502	8191
234	2511	8175
235	2522	8164
236	2531	8150
237	2542	8140
238	2552	8127
239	2561	8112
240	2571	8097
241	2581	8085
242	2591	8072
243	2601	8059
244	2611	8047
245	2622	8039
246	2631	8021
247	2640	8005
248	2650	7993
249	2660	7980
250	2670	7967
251	2680	7955
252	2690	7943
253	2701	7934
254	2711	7922
255	2721	7908
256	2730	7893
257	2741	7883
258	2751	7873
259	2762	7863
260	2775	7857
261	2785	7845
262	2796	7835
263	2804	7819
264	2815	7809
265	2824	7795
266	2835	7785
267	2845	7772
268	2853	7753
269	2861	7737
270	2871	7725
271	2882	7716
272	2891	7700
273	2901	7687
274	2911	7674
275	2920	7661
276	2930	7648
