iter	RMSE
0	163.781247
1	155.8191284
2	148.2334502
3	141.0342073
4	134.1635274
5	127.6715501
6	121.4854883
7	115.5610079
8	109.9391049
9	104.5899587
10	99.53348884
11	94.71262397
12	90.12228859
13	85.77004126
14	81.65454011
15	77.72826653
16	73.99911074
17	70.45464871
18	67.09018044
19	63.90599339
20	60.8585583
21	57.98114737
22	55.24452068
23	52.66974374
24	50.19456384
25	47.84784391
26	45.64049815
27	43.53854809
28	41.53218839
29	39.63063636
30	37.83030305
31	36.15142548
32	34.54801697
33	33.01263059
34	31.57110163
35	30.23812902
36	28.94423539
37	27.72241216
38	26.57436939
39	25.48878498
40	24.46697307
41	23.49961012
42	22.58577129
43	21.73222581
44	20.92261965
45	20.16117532
46	19.45509729
47	18.78785642
48	18.16770904
49	17.58224174
50	17.03383785
51	16.52163705
52	16.04732459
53	15.60679704
54	15.19534502
55	14.81027514
56	14.4572361
57	14.13037867
58	13.82745574
59	13.54123151
60	13.25487945
61	13.0144519
62	12.76838108
63	12.54350589
64	12.33387174
65	12.13702752
66	11.97202425
67	11.79246283
68	11.64265865
69	11.47184944
70	11.34035868
71	11.22255006
72	11.10793851
73	11.01005465
74	10.86800372
75	10.76990096
76	10.67439331
77	10.57272577
78	10.50545209
79	10.41935599
80	10.36226567
81	10.31189617
82	10.24228452
83	10.18320945
84	10.1385171
85	10.06264714
86	9.981442803
87	9.950909627
88	9.917631748
89	9.869783065
90	9.856684423
91	9.817548608
92	9.751804394
93	9.740831058
94	9.73074249
95	9.721644532
96	9.657150079
97	9.64924107
98	9.641797585
99	9.62214382
100	9.611691949
101	9.594567649
102	9.584938498
103	9.514423247
104	9.510597076
105	9.502162952
106	9.497817239
107	9.493818246
108	9.424796011
109	9.417523749
110	9.348735499
111	9.346233229
112	9.33994941
113	9.332953723
114	9.312406192
115	9.306830984
116	9.305147323
117	9.303587856
118	9.242494365
119	9.241101815
120	9.178964236
121	9.177280092
122	9.175727541
123	9.166110973
124	9.124651263
125	9.096247857
126	9.080687353
127	9.04392712
128	9.040215009
129	9.039256602
130	9.035850466
131	9.023801738
132	9.005171327
133	8.949073086
134	8.936582274
135	8.895995136
136	8.893371641
137	8.887162
138	8.881330949
139	8.872173971
140	8.863323274
141	8.862950376
142	8.860729661
143	8.860338421
144	8.855568603
145	8.855236197
146	8.813442822
147	8.811708705
148	8.804725282
149	8.803570171
150	8.803110448
151	8.776337299
152	8.77225725
153	8.772058411
154	8.730135016
155	8.726376968
156	8.724852142
157	8.722453746
158	8.68955448
159	8.686914345
160	8.686780063
161	8.681183464
162	8.68011286
163	8.676821991
164	8.675864471
165	8.665203418
166	8.664406423
167	8.643306801
168	8.642353489
169	8.610998087
170	8.6062078
171	8.605711761
172	8.602807815
173	8.600062087
174	8.599613774
175	8.59905526
176	8.598346399
177	8.597921563
178	8.597279174
179	8.596702672
180	8.594466367
181	8.593289047
182	8.592629741
183	8.592028387
184	8.591711919
185	8.590125894
186	8.589549548
187	8.589506831
188	8.587214126
189	8.586706785
190	8.586669474
191	8.585720397
192	8.585701262
193	8.585672558
194	8.583513771
195	8.558846298
196	8.556826346
197	8.554915063
198	8.554479749
199	8.554063298
200	8.553666995
201	8.55365451
202	8.553278357
203	8.552465489
204	8.552199105
205	8.551839858
206	8.551497566
207	8.551343867
208	8.551052471
209	8.550723277
210	8.550408803
211	8.550107767
212	8.549982226
213	8.546851422
214	8.546842451
215	8.546077993
216	8.546068702
217	8.545790263
218	8.545093646
219	8.544826391
220	8.52236154
221	8.52211253
222	8.52200457
223	8.521925848
224	8.499593766
225	8.481282465
226	8.481208853
227	8.481130721
228	8.481064535
229	8.479933792
230	8.479161364
231	8.478721837
232	8.478317813
233	8.458843729
234	8.458760535
235	8.458639465
236	8.458546233
237	8.458456562
238	8.432963214
239	8.432873919
240	8.432536541
241	8.432456983
242	8.432385544
243	8.432320598
244	8.432018594
245	8.416963456
246	8.41691661
247	8.416647562
248	8.416261381
249	8.416023548
250	8.415976045
251	8.415956524
252	8.390329801
253	8.371443925
254	8.371095565
255	8.371063509
256	8.37074621
257	8.35999641
258	8.359711774
259	8.359700637
260	8.349294098
261	8.349269829
262	8.349260318
263	8.349080266
264	8.349072395
265	8.332305596
266	8.304290977
267	8.304284053
268	8.304277458
269	8.304024546
270	8.303789433
271	8.30357278
272	8.303560249
273	8.302619376
274	8.291514751
275	8.291016067
276	8.290841356
277	8.27466971
278	8.274546939
279	8.274532379
280	8.259288972
281	8.259285325
282	8.259275379
283	8.259258803
284	8.245731745
285	8.245728092
286	8.245720122
287	8.245570021
288	8.245565372
289	8.245466742
290	8.245456447
291	8.245366783
292	8.245353499
293	8.245248225
294	8.245246564
295	8.245233945
296	8.245151252
297	8.245148595
298	8.245072876
299	8.240094123
300	8.240093126
301	8.239966516
302	8.239955883
303	8.239947242
304	8.23983193
305	8.239824286
306	8.239735558
307	8.239726917
308	8.23972725
309	8.212772557
310	8.212281429
311	8.212281429
312	8.212281095
313	8.212117713
314	8.212117379
315	8.21204669
316	8.21204669
317	8.211885971
318	8.211080324
319	8.191693961
320	8.191628444
321	8.191568943
322	8.191568609
323	8.191568275
324	8.17062466
325	8.170619968
326	8.170616282
327	8.155971008
328	8.155971344
329	8.155968322
330	8.155967315
331	8.155967651
332	8.155963958
333	8.155963958
334	8.142285136
335	8.142284463
336	8.142282109
337	8.142281436
338	8.138199784
339	8.115354668
340	8.115351968
341	8.115350281
342	8.115339484
343	8.115337122
344	8.11533611
345	8.11533476
346	8.115326662
347	8.115321264
348	8.111624385
349	8.111623372
350	8.111614596
351	8.110812156
352	8.110793925
353	8.110794263
354	8.110792912
355	8.110592036
356	8.110591699
357	8.110591023
358	8.092203122
359	8.092202445
360	8.092202107
361	8.092041376
362	8.092040699
363	8.091894854
364	8.091881318
365	8.091878611
366	8.091877596
367	8.091877596
368	8.091865752
369	8.091855262
370	8.081871252
371	8.081871252
372	8.081861427
373	8.075650324
374	8.075642186
375	8.075641847
376	8.075639812
377	8.075638795
378	8.0756371
379	8.063661338
380	8.057219386
381	8.057219386
382	8.057212249
383	8.057212929
384	8.048017178
385	8.047868494
386	8.047867473
387	8.047866793
388	8.047840594
389	8.047816437
390	8.047816777
391	8.047816437
392	8.047816096
393	8.047794321
394	8.047792279
395	8.034193423
396	8.034193083
397	8.034192401
398	8.034173315
399	8.034172974
400	8.034172633
401	8.034172633
402	8.034172633
403	8.034153888
404	8.034154229
405	8.034137869
406	8.022781432
407	8.022781432
408	8.022765391
409	8.022627501
410	8.022626819
411	8.022626477
412	8.022626477
413	8.022626819
414	8.017187861
415	8.011236632
416	8.011235949
417	8.009860777
418	8.008958908
419	8.008958566
420	8.007600784
421	8.007471525
422	8.007470841
423	8.007471525
424	8.007471525
425	7.99901007
426	7.999010413
427	7.998994666
428	7.998980631
429	7.99896728
430	7.99895838
431	7.997002793
432	7.997002793
433	7.997003135
434	7.988287565
435	7.988287565
436	7.987087059
437	7.987075403
438	7.987075403
439	7.98706409
440	7.98706409
441	7.98706409
442	7.982306557
443	7.982296265
444	7.982287003
445	7.982287003
446	7.982287003
447	7.982286317
448	7.982286317
449	7.982286317
450	7.982287003
451	7.982286317
452	7.98228666
453	7.97973611
454	7.979727188
455	7.979727188
456	7.979727532
457	7.979718953
458	7.979718267
459	7.979717923
460	7.979596105
461	7.979596448
462	7.979588899
463	7.978321875
464	7.978320845
465	7.978313981
466	7.977069409
467	7.975998017
468	7.974972489
469	7.972543244
470	7.972543244
471	7.972542557
472	7.972542557
473	7.972533628
474	7.972416508
475	7.970740235
476	7.970740578
477	7.970734051
478	7.970733708
479	7.970733021
480	7.970733364
481	7.970621027
482	7.970057602
483	7.969946287
484	7.969666273
485	7.969479363
486	7.96858873
487	7.968562615
488	7.968562271
489	7.968562271
490	7.968553337
491	7.966254815
492	7.966246221
493	7.956205084
494	7.956106997
495	7.956106653
496	7.95594214
497	7.955941452
498	7.95594214
499	7.955932847
500	7.955932159
501	7.955849557
502	7.955849901
503	7.938340213
504	7.936803026
505	7.936203042
506	7.932737152
507	7.932737498
508	7.926092408
509	7.91826365
510	7.918263304
511	7.918263304
512	7.918253276
513	7.918253276
514	7.918252584
515	7.918250855
516	7.918250855
517	7.918245668
518	7.906236533
519	7.90623688
520	7.90623688
521	7.905909584
522	7.905909238
523	7.904080982
524	7.904080635
525	7.904073014
526	7.902269282
527	7.902268589
528	7.889395256
529	7.889395256
530	7.889394562
531	7.889387273
532	7.889368184
533	7.889367143
534	7.889367837
535	7.88936749
536	7.88936749
537	7.889368184
538	7.88936749
539	7.889360895
540	7.889361242
541	7.889354648
542	7.889349094
543	7.889348747
544	7.889331393
545	7.88932584
546	7.889233516
547	7.889233516
548	7.889233516
549	7.889233863
550	7.889233863
551	7.889229004
552	7.889224839
553	7.889221716
554	7.889204361
555	7.889205055
556	7.889205055
557	7.889201585
558	7.889199155
559	7.889198808
560	7.889195684
561	7.889196031
562	7.889195337
563	7.889193255
564	7.889104747
565	7.889104747
566	7.887694396
567	7.877588936
568	7.877586155
569	7.866001961
570	7.865999525
571	7.860795313
572	7.854778929
573	7.85477614
574	7.854775792
575	7.853305581
576	7.853302791
577	7.853301745
578	7.845223744
579	7.845217811
580	7.837409238
581	7.83740854
582	7.83740819
583	7.837406094
584	7.837403648
585	7.837403299
586	7.831044813
587	7.831043764
588	7.831043764
589	7.831043415
590	7.831042016
591	7.831042366
592	7.831042366
593	7.831039918
594	7.831039568
595	7.83103817
596	7.831038519
597	7.83103747
598	7.831036421
599	7.831037121
600	7.831036072
601	7.831034324
602	7.831032925
603	7.821598218
604	7.821591216
605	7.821591216
606	7.821591216
607	7.821585265
608	7.821585615
609	7.821585265
610	7.821583865
611	7.821583865
612	7.821583865
613	7.821583164
614	7.821582464
615	7.821581414
616	7.821581414
617	7.821580364
618	7.821580014
619	7.820336409
620	7.820336759
621	7.816382661
622	7.816299284
623	7.81595526
624	7.815954209
625	7.814895766
626	7.814894715
627	7.814895066
628	7.814895066
629	7.814894365
630	7.814813425
631	7.814813425
632	7.814812724
633	7.814811323
634	7.814811673
635	7.814811323
636	7.814733887
637	7.814733186
638	7.814732485
639	7.814732485
640	7.814732485
641	7.814732135
642	7.814732135
643	7.814731083
644	7.814730733
645	7.814730032
646	7.814641733
647	7.813671424
648	7.79964964
649	7.799647533
650	7.799596277
651	7.799596277
652	7.799591362
653	7.793917363
654	7.793916309
655	7.793916661
656	7.793916309
657	7.793916661
658	7.793915607
659	7.7863422
660	7.786342904
661	7.786338684
662	7.78633798
663	7.786334464
664	7.786330595
665	7.786330595
666	7.785463327
667	7.785463327
668	7.785462623
669	7.785461568
670	7.785457699
671	7.785458051
672	7.785455237
673	7.785454534
674	7.784215008
675	7.784215359
676	7.784213952
677	7.779093362
678	7.778979666
679	7.778977202
680	7.774605853
681	7.77376299
682	7.773761933
683	7.773759467
684	7.773758763
685	7.773750661
686	7.773748196
687	7.773746082
688	7.773720369
689	7.773308587
690	7.773299781
691	7.77329802
692	7.76792983
693	7.767922075
694	7.767854041
695	7.767852984
696	7.767845581
697	7.767825841
698	7.767824431
699	7.767822316
700	7.767820906
701	7.767818791
702	7.76780187
703	7.767722202
704	7.767720792
705	7.766959326
706	7.766857792
707	7.766857439
708	7.76264294
709	7.759830002
710	7.75638309
711	7.750808176
712	7.750747058
713	7.746886454
714	7.746875143
715	7.745308795
716	7.745302431
717	7.745298189
718	7.745288997
719	7.744645891
720	7.744637406
721	7.744628566
722	7.741473421
723	7.741464579
724	7.739879446
725	7.739871309
726	7.739464096
727	7.737851305
728	7.736207739
729	7.734745082
730	7.734742958
