iter	Passed	Remaining
0	71	712798
1	134	671737
2	206	688303
3	282	705670
4	352	704326
5	428	714268
6	480	686372
7	567	708973
8	646	717869
9	721	720934
10	799	725757
11	875	728788
12	957	735411
13	1038	740837
14	1102	734104
15	1184	739085
16	1265	743163
17	1338	742493
18	1403	737384
19	1454	725547
20	1526	725467
21	1591	721836
22	1671	725249
23	1720	715262
24	1798	717602
25	1878	720567
26	1924	710958
27	2002	713153
28	2078	714532
29	2150	714532
30	2228	716801
31	2276	709210
32	2348	709300
33	2421	709762
34	2499	711732
35	2529	699978
36	2603	701037
37	2679	702520
38	2748	702027
39	2822	702871
40	2897	703708
41	2970	704179
42	3038	703617
43	3110	703820
44	3152	697461
45	3226	698162
46	3265	691617
47	3340	692691
48	3412	692985
49	3488	694182
50	3547	691967
51	3621	692860
52	3699	694284
53	3771	694589
54	3844	695221
55	3902	692967
56	3972	692996
57	4053	694774
58	4113	693039
59	4168	690602
60	4240	690914
61	4315	691790
62	4389	692373
63	4460	692495
64	4534	693131
65	4607	693541
66	4711	698485
67	4812	702942
68	4887	703391
69	4962	703911
70	5024	702611
71	5094	702474
72	5171	703264
73	5199	697431
74	5272	697782
75	5346	698098
76	5440	701119
77	5524	702709
78	5610	704533
79	5686	705139
80	5714	699821
81	5742	694556
82	5815	694857
83	5912	698003
84	6013	701487
85	6128	706451
86	6217	708418
87	6277	707034
88	6368	709171
89	6480	713556
90	6500	707794
91	6620	712976
92	6760	720168
93	6783	714833
94	6803	709306
95	6824	704010
96	6951	709721
97	6970	704320
98	6994	699537
99	7134	706321
100	7161	701885
101	7267	705220
102	7290	700511
103	7421	706189
104	7437	700871
105	7456	695998
106	7480	691631
107	7503	687298
108	7649	694183
109	7670	689670
110	7807	695550
111	7826	691005
112	7853	687159
113	7875	682995
114	8008	688343
115	8028	684069
116	8044	679510
117	8059	674987
118	8200	680882
119	8215	676430
120	8352	681970
121	8374	678080
122	8397	674337
123	8425	671046
124	8541	674791
125	8675	679860
126	8840	687282
127	8988	693256
128	9011	689548
129	9032	685782
130	9067	683140
131	9166	685289
132	9312	690864
133	9455	696166
134	9569	699308
135	9695	703190
136	9723	700007
137	9759	697422
138	9787	694330
139	9922	698799
140	10065	703776
141	10083	700025
142	10111	697001
143	10132	693485
144	10158	690422
145	10176	686843
146	10288	689608
147	10315	686673
148	10445	690576
149	10465	687203
150	10488	684084
151	10637	689210
152	10666	686477
153	10684	683102
154	10806	686369
155	10832	683576
156	10864	681126
157	10897	678825
158	11032	682832
159	11150	685744
160	11168	682541
161	11309	686779
162	11335	684107
163	11367	681791
164	11394	679206
165	11518	682361
166	11561	680771
167	11692	684273
168	11733	682533
169	11862	685935
170	11987	689036
171	12027	687217
