model_name,mean_smape,mean_r2,mean_mse
catboost_optuna,17.350763788578718,0.9563514101761754,1486.0315443592551
catboost_optuna,17.350763788578718,0.9563514101761754,1486.0315443592551

naive_approach_xgboost_optuna,11.15447889129947,0.9725789751987468,942.7695334063526;

random_forest,12.377905244339651,0.9639401583380212,1249.6716582694412;

random_forest,12.396539787955302,0.9641082887244361,1243.345831325301;

random_forest,12.381627821611083,0.9641183726319639,1242.9430449069002;

random_forest_with_holidays,12.374105643119552,0.9640766888857367,1244.5401708652794;

random_forest_with_holidays_no_year,13.536103495377386,0.9672098558647196,1135.1293493975904;

random_forest_with_holidays,12.211593106501308,0.96839163608776,1093.121244249726;

random_forest_with_holidays_seasonality_features,12.927054671590138,0.9676568210266556,1132.432;

default_xgboost_with_holidays_seasonality_features,13.689657848636577,0.9684179513661675,1070.9100372398686;

default_xgboost_with_holidays_seasonality_features,13.689657848636577,0.9684179513661675,1070.9100372398686;

naive_approach_xgboost_optuna,11.086356621323189,0.97196805196983,962.925187294633;

random_forest_with_holidays_no_2020,9.4735138095126,0.9799360223978961,715.4944225352112;
